"customer_id","first_name","last_name","gender","dob","job_title_id","wealth_segment","deceased_indicator","owns_car"
1,Laraine,Medendorp,F,1953-10-12,1,Mass Customer,N,Yes
2,Eli,Bockman,M,1980-12-16,2,Mass Customer,N,Yes
3,Arlin,Dearle,M,1954-01-20,3,Mass Customer,N,Yes
4,Talbot,,M,1961-10-03,4,Mass Customer,N,No
5,Sheila-kathryn,Calton,F,1977-05-13,5,Affluent Customer,N,Yes
6,Curr,Duckhouse,M,1966-09-16,6,High Net Worth,N,Yes
7,Fina,Merali,F,1976-02-23,7,Affluent Customer,N,Yes
8,Rod,Inder,M,1962-03-30,8,Mass Customer,N,No
9,Mala,Lind,F,1973-03-10,9,Affluent Customer,N,Yes
10,Fiorenze,Birdall,F,1988-10-11,10,Mass Customer,N,Yes
